日期,SO2分指数,NO2分指数,AQI
2023/3/31,"\mathcal{L}(7,9)","\mathcal{L}(41,43)","\mathcal{L}(44,46)"
2023/3/31,"\mathcal{L}(7,9)","\mathcal{L}(41,43)","\mathcal{L}(44,46)"
2023/3/30,"\mathcal{L}(5,7)","\mathcal{L}(43,45)","\mathcal{L}(71,73)"
2023/3/30,"\mathcal{L}(5,7)","\mathcal{L}(43,45)","\mathcal{L}(71,73)"
2023/3/29,"\mathcal{L}(6,8)","\mathcal{L}(49,51)","\mathcal{L}(57,59)"
2023/3/28,"\mathcal{L}(7,9)","\mathcal{L}(49,51)","\mathcal{L}(71,73)"
2023/3/27,"\mathcal{L}(7,9)","\mathcal{L}(53,55)","\mathcal{L}(78,80)"
2023/3/26,"\mathcal{L}(6,8)","\mathcal{L}(29,31)","\mathcal{L}(62,64)"
2023/3/25,"\mathcal{L}(6,8)","\mathcal{L}(37,39)","\mathcal{L}(49,51)"
2023/3/24,"\mathcal{L}(5,7)","\mathcal{L}(27,29)","\mathcal{L}(78,80)"
2023/3/23,"\mathcal{L}(5,7)","\mathcal{L}(39,41)","\mathcal{L}(91,93)"
2023/3/22,"\mathcal{L}(5,7)","\mathcal{L}(73,75)","\mathcal{L}(73,75)"
2023/3/21,"\mathcal{L}(5,7)","\mathcal{L}(63,65)","\mathcal{L}(63,65)"
2023/3/20,"\mathcal{L}(5,7)","\mathcal{L}(38,40)","\mathcal{L}(48,50)"
2023/3/19,"\mathcal{L}(6,8)","\mathcal{L}(34,36)","\mathcal{L}(45,47)"
2023/3/19,"\mathcal{L}(6,8)","\mathcal{L}(34,36)","\mathcal{L}(45,47)"
2023/3/18,"\mathcal{L}(5,7)","\mathcal{L}(34,36)","\mathcal{L}(37,39)"
2023/3/17,"\mathcal{L}(5,7)","\mathcal{L}(27,29)","\mathcal{L}(39,41)"
2023/3/16,"\mathcal{L}(5,7)","\mathcal{L}(21,23)","\mathcal{L}(65,67)"
2023/3/15,"\mathcal{L}(8,10)","\mathcal{L}(41,43)","\mathcal{L}(69,71)"
2023/3/14,"\mathcal{L}(7,9)","\mathcal{L}(36,38)","\mathcal{L}(64,66)"
2023/3/13,"\mathcal{L}(6,8)","\mathcal{L}(32,34)","\mathcal{L}(52,54)"
2023/3/12,"\mathcal{L}(5,7)","\mathcal{L}(31,33)","\mathcal{L}(59,61)"
2023/3/11,"\mathcal{L}(7,9)","\mathcal{L}(41,43)","\mathcal{L}(76,78)"
2023/3/10,"\mathcal{L}(8,10)","\mathcal{L}(67,69)","\mathcal{L}(101,103)"
2023/3/9,"\mathcal{L}(7,9)","\mathcal{L}(66,68)","\mathcal{L}(101,103)"
2023/3/8,"\mathcal{L}(7,9)","\mathcal{L}(67,69)","\mathcal{L}(67,69)"
2023/3/7,"\mathcal{L}(8,10)","\mathcal{L}(58,60)","\mathcal{L}(79,81)"
2023/3/6,"\mathcal{L}(8,10)","\mathcal{L}(64,66)","\mathcal{L}(84,86)"
2023/3/5,"\mathcal{L}(6,8)","\mathcal{L}(48,50)","\mathcal{L}(53,55)"
2023/3/4,"\mathcal{L}(6,8)","\mathcal{L}(58,60)","\mathcal{L}(58,60)"
2023/3/3,"\mathcal{L}(5,7)","\mathcal{L}(49,51)","\mathcal{L}(49,51)"
